ORI,YEAR,MRD,CLR,State,County,Agency
VA05200,2011,1,1,Virginia,"Lee, VA",Lee County
AZ01107,2015,1,0,Arizona,"Pinal, AZ",Florence
MO01101,2010,5,2,Missouri,"Buchanan, MO",St. Joseph
SC02604,2010,7,6,South Carolina,"Horry, SC",Horry County Police Department
MI82453,2015,1,0,Michigan,"Wayne, MI",Hamtramck
MI08108,2015,2,2,Michigan,"Barry, MI",Barry
TX08405,2013,1,0,Texas,"Galveston, TX",Hitchcock
SC00801,2018,3,3,South Carolina,"Berkeley, SC",Moncks Corner
WA00802,2019,1,0,Washington,"Cowlitz, WA",Longview
CO02101,2017,29,27,Colorado,"El Paso, CO",Colorado Springs
ND02600,2010,1,1,North Dakota,"McIntosh, ND",Mcintosh County
